period,timestamp,minute,second,team_goals_before,opp_goals_before,team_id,team_name,player_id,player_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,score_diff,scored,direction,pressure
2,00:02:03.213,47,3,0,0,173,Hertha Berlin,8575,Salomon Armand Magloire Kalou,0.7835,"[120.0, 40.4, 0.5]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Centre,High
1,00:40:06.790,40,6,0,0,137,Lyon,3451,Alexandre Lacazette,0.7835,"[120.0, 38.8, 2.8]",40,Right Foot,88,Penalty,99,Post,93,Normal,"[{'location': [119.6, 39.8], 'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",0,0,Centre,Medium
1,00:10:20.904,10,20,0,0,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,0.7835,"[119.3, 42.3, 0.1]",38,Left Foot,88,Penalty,100,Saved,93,Normal,,0,0,Right,Medium
1,00:14:14.644,14,14,0,0,861,France Women's,10272,Onema Grace Geyoro,0.7835,"[120.0, 39.3, 1.4]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Centre,Medium
2,00:23:42.399,68,42,1,1,857,Germany Women's,47008,Sjoeke Nüsken,0.7835,"[118.9, 37.6, 0.9]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,0,0,Left,High
5,00:00:34.033,120,34,1,1,857,Germany Women's,46881,Janina Minge,0.7835,"[120.0, 43.0, 1.1]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
5,00:01:35.573,121,35,1,2,861,France Women's,15249,Amel Majri,0.7835,"[119.0, 41.8, 0.9]",38,Left Foot,88,Penalty,100,Saved,93,Normal,,-1,0,Right,Extreme
5,00:02:15.309,122,15,2,1,857,Germany Women's,10258,Linda Dallmann,0.7835,"[120.0, 43.6, 2.1]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Right,Extreme
5,00:03:03.886,123,3,1,3,861,France Women's,10117,Sakina Karchaoui,0.7835,"[120.0, 43.3, 0.3]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,-2,1,Right,Extreme
5,00:03:47.380,123,47,3,2,857,Germany Women's,46885,Rebecca Knaak,0.7835,"[120.0, 37.7, 0.2]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,1,1,Left,Extreme
